,"Bogotá, Distrito Capital","Medellín, Antioquia","Cali, Valle del Cauca","Barranquilla, Atlantico","Cartagena de Indias, Bolívar","Bucaramanga, Santander","Cúcuta, Norte de Santander","Pereira, Risaralda","Manizales, Caldas","Ibagué, Tolima","Santa Marta, Magdalena","Villavicencio, Meta","Neiva, Huila"
"Bogotá, Distrito Capital",0,98400,119600,123800,122300,51500,41200,82900,59700,53100,103600,53600,73700
"Medellín, Antioquia",98400,0,138900,145600,133700,68800,90000,82400,66300,112200,165800,140800,156300
"Cali, Valle del Cauca",119600,138900,0,284500,272600,128100,149300,56500,72600,66500,190400,173200,20200
"Barranquilla, Atlantico",123800,145600,284500,0,23100,94000,76300,228000,211900,144100,20200,210100,188200
"Cartagena de Indias, Bolívar",122300,133700,272600,23100,0,92500,74800,216100,200000,245900,43300,274500,252600
"Bucaramanga, Santander",51500,68800,128100,94000,92500,0,21200,64000,47900,61600,73800,92700,105700
"Cúcuta, Norte de Santander",41200,90000,149300,76300,74800,21200,0,85200,69100,82800,56100,44900,126100
"Pereira, Risaralda",82900,82400,56500,228000,216100,64000,85200,0,16100,29800,126300,136500,73900
"Manizales, Caldas",59700,66300,72600,211900,200000,47900,69100,16100,0,45900,110200,102100,90000
"Ibagué, Tolima",53100,112200,66500,144100,245900,61600,82800,29800,45900,0,123900,106700,44100
"Santa Marta, Magdalena",103600,165800,190400,20200,43300,73800,56100,126300,110200,123900,0,189900,168000
"Villavicencio, Meta",53600,140800,173200,210100,274500,92700,44900,136500,102100,106700,189900,0,127300
"Neiva, Huila",73700,156300,20200,188200,252600,105700,126100,73900,90000,44100,168000,127300,0
